POSITION;FUNCTION;PORT
IOB tile[0, 0] coord[12, 30] Output0;BRAM1_WADDR[4];
IOB tile[0, 0] coord[12, 30] Output1;BRAM1_WADDR[3];
IOB tile[0, 0] coord[12, 30] Input0;;
IOB tile[0, 0] coord[12, 30] Input1;;
IOB tile[0, 0] coord[12, 31] Output0;BRAM1_WADDR[2];
IOB tile[0, 0] coord[12, 31] Output1;BRAM1_WADDR[1];
IOB tile[0, 0] coord[12, 31] Input0;;
IOB tile[0, 0] coord[12, 31] Input1;;
IOB tile[0, 0] coord[13,  0] Output0;BRAM5_RADDR[7];
IOB tile[0, 0] coord[13,  0] Output1;BRAM5_RADDR[6];
IOB tile[0, 0] coord[13,  0] Input0;BRAM6_RDATA[7];
IOB tile[0, 0] coord[13,  0] Input1;BRAM6_RDATA[6];
IOB tile[0, 0] coord[13,  1] Output0;BRAM5_WADDR[0];
IOB tile[0, 0] coord[13,  1] Output1;BRAM5_RADDR[8];
IOB tile[0, 0] coord[13,  1] Input0;;
IOB tile[0, 0] coord[13,  1] Input1;;
IOB tile[0, 0] coord[13, 30] Output0;BRAM1_WADDR[0];
IOB tile[0, 0] coord[13, 30] Output1;BRAM1_RADDR[8];
IOB tile[0, 0] coord[13, 30] Input0;;
IOB tile[0, 0] coord[13, 30] Input1;;
IOB tile[0, 0] coord[13, 31] Output0;BRAM1_RADDR[7];
IOB tile[0, 0] coord[13, 31] Output1;BRAM1_RADDR[6];
IOB tile[0, 0] coord[13, 31] Input0;BRAM2_RDATA[7];
IOB tile[0, 0] coord[13, 31] Input1;BRAM2_RDATA[6];
IOB tile[0, 0] coord[14,  0] Output0;BRAM5_RADDR[3];
IOB tile[0, 0] coord[14,  0] Output1;BRAM5_RADDR[2];
IOB tile[0, 0] coord[14,  0] Input0;BRAM6_RDATA[3];
IOB tile[0, 0] coord[14,  0] Input1;BRAM6_RDATA[2];
IOB tile[0, 0] coord[14,  1] Output0;BRAM5_RADDR[5];
IOB tile[0, 0] coord[14,  1] Output1;BRAM5_RADDR[4];
IOB tile[0, 0] coord[14,  1] Input0;BRAM6_RDATA[5];
IOB tile[0, 0] coord[14,  1] Input1;BRAM6_RDATA[4];
IOB tile[0, 0] coord[14, 30] Output0;BRAM1_RADDR[5];
IOB tile[0, 0] coord[14, 30] Output1;BRAM1_RADDR[4];
IOB tile[0, 0] coord[14, 30] Input0;BRAM2_RDATA[5];
IOB tile[0, 0] coord[14, 30] Input1;BRAM2_RDATA[4];
IOB tile[0, 0] coord[14, 31] Output0;BRAM1_RADDR[3];
IOB tile[0, 0] coord[14, 31] Output1;BRAM1_RADDR[2];
IOB tile[0, 0] coord[14, 31] Input0;BRAM2_RDATA[3];
IOB tile[0, 0] coord[14, 31] Input1;BRAM2_RDATA[2];
IOB tile[0, 0] coord[15,  0] Output0;BRAM6_nWEN;
IOB tile[0, 0] coord[15,  0] Output1;BRAM6_nWCLKEN;
IOB tile[0, 0] coord[15,  0] Input0;;
IOB tile[0, 0] coord[15,  0] Input1;;
IOB tile[0, 0] coord[15,  1] Output0;BRAM5_RADDR[1];
IOB tile[0, 0] coord[15,  1] Output1;BRAM5_RADDR[0];
IOB tile[0, 0] coord[15,  1] Input0;BRAM6_RDATA[1];
IOB tile[0, 0] coord[15,  1] Input1;BRAM6_RDATA[0];
IOB tile[0, 0] coord[15, 30] Output0;BRAM1_RADDR[1];
IOB tile[0, 0] coord[15, 30] Output1;BRAM1_RADDR[0];
IOB tile[0, 0] coord[15, 30] Input0;BRAM2_RDATA[1];
IOB tile[0, 0] coord[15, 30] Input1;BRAM2_RDATA[0];
IOB tile[0, 0] coord[15, 31] Output0;BRAM2_nWEN;
IOB tile[0, 0] coord[15, 31] Output1;BRAM2_nWCLKEN;
IOB tile[0, 0] coord[15, 31] Input0;;
IOB tile[0, 0] coord[15, 31] Input1;;
IOB tile[0, 0] coord[16,  0] Output0;BRAM6_RATIO[1];
IOB tile[0, 0] coord[16,  0] Output1;BRAM6_RATIO[0];
IOB tile[0, 0] coord[16,  0] Input0;;
IOB tile[0, 0] coord[16,  0] Input1;;
IOB tile[0, 0] coord[16,  1] Output0;BRAM6_nREN;
IOB tile[0, 0] coord[16,  1] Output1;BRAM6_nRCLKEN;
IOB tile[0, 0] coord[16,  1] Input0;;
IOB tile[0, 0] coord[16,  1] Input1;;
IOB tile[0, 0] coord[16, 30] Output0;BRAM2_nREN;
IOB tile[0, 0] coord[16, 30] Output1;BRAM2_nRCLKEN;
IOB tile[0, 0] coord[16, 30] Input0;;
IOB tile[0, 0] coord[16, 30] Input1;;
IOB tile[0, 0] coord[16, 31] Output0;BRAM2_RATIO[1];
IOB tile[0, 0] coord[16, 31] Output1;BRAM2_RATIO[0];
IOB tile[0, 0] coord[16, 31] Input0;;
IOB tile[0, 0] coord[16, 31] Input1;;
IOB tile[0, 0] coord[17,  0] Output0;BRAM6_WDATA[7];
IOB tile[0, 0] coord[17,  0] Output1;BRAM6_WDATA[6];
IOB tile[0, 0] coord[17,  0] Input0;;
IOB tile[0, 0] coord[17,  0] Input1;;
IOB tile[0, 0] coord[17,  1] Output0;BRAM6_WCLKINV;
IOB tile[0, 0] coord[17,  1] Output1;BRAM6_RCLKINV;
